time_sec,cpu_percent,memory_mb
9.31,0.00,575.12
9.40,5.10,600.96
9.50,5.00,630.96
9.60,5.00,658.96
9.70,5.00,678.86
9.80,5.00,1170.43
9.90,5.00,1650.43
10.00,5.00,2067.38
10.10,5.00,2481.38
10.20,5.00,1918.25
10.30,5.00,2120.12
10.40,5.00,2320.12
10.50,5.00,2517.93
10.60,5.00,2730.59
10.70,5.00,2942.62
10.80,5.50,3154.50
10.90,5.00,3365.43
11.00,5.00,3577.78
11.10,4.50,3789.34
11.20,5.00,4001.53
11.30,5.00,4024.65
11.40,5.00,4024.65
11.50,5.00,4024.65
11.60,5.00,4024.65
11.70,5.00,4024.65
11.80,5.00,4024.65
11.90,5.00,4024.65
12.00,5.00,4024.65
12.10,5.00,4024.65
12.20,5.00,4024.65
12.30,5.00,4024.65
12.40,5.00,4024.65
12.50,5.00,4024.65
12.60,5.00,4024.65
12.70,5.00,4024.65
12.80,5.00,4024.65
12.90,5.00,4024.65
13.00,5.00,4024.65
13.10,5.00,4024.65
13.20,5.00,4024.65
13.30,5.50,3258.32
13.40,4.50,3750.75
13.50,5.00,2495.88
13.60,5.50,2724.62
13.70,5.00,2953.22
13.80,5.00,3183.53
13.90,5.00,3404.62
14.00,5.00,3619.00
14.10,5.00,3833.38
14.20,5.00,4028.69
14.30,5.00,4028.69
14.40,5.00,4028.69
14.50,5.00,4028.69
14.60,5.00,4028.69
14.70,5.00,4028.69
14.80,5.00,4028.69
14.90,5.00,4028.69
15.00,5.00,4028.69
15.10,5.00,4028.69
15.20,5.00,4028.69
15.30,5.00,4028.69
15.40,5.00,4028.69
15.50,5.00,4028.69
15.60,5.00,4028.69
15.70,5.00,4028.69
15.80,5.00,4028.69
15.90,5.00,4028.69
16.00,5.00,4028.69
16.10,5.00,4028.69
16.20,5.00,4028.69
16.30,5.00,3396.76
16.40,5.00,3890.76
16.50,5.50,3370.75
16.60,4.50,3730.75
16.70,5.00,4063.91
16.80,5.00,4280.94
16.90,5.00,4498.91
17.00,5.00,4715.63
17.10,5.00,4915.94
17.20,5.50,5105.63
17.30,5.00,5292.82
17.40,5.00,5478.91
17.50,5.00,5564.69
17.60,5.00,5564.69
17.70,5.00,5564.69
17.80,5.00,5564.69
17.90,5.00,5564.69
18.00,5.00,5564.69
18.10,5.00,5564.69
18.20,5.00,5564.69
18.30,5.00,5564.69
18.40,5.00,5564.69
18.50,5.00,5564.69
18.60,5.00,5564.69
18.70,5.00,5564.69
18.80,5.00,5564.69
18.90,5.00,5564.69
19.00,5.00,5564.69
19.10,5.00,5564.69
19.20,5.00,5564.69
19.30,5.00,5564.69
19.40,5.00,5564.69
19.50,5.00,5564.69
19.60,5.00,5564.69
19.70,4.50,4878.76
19.80,5.50,5362.76
19.90,4.50,2524.75
20.00,5.50,2928.75
20.10,5.00,2514.88
20.20,5.00,2690.97
20.30,5.50,2866.75
20.40,4.50,3043.00
20.50,5.00,3218.94
21.36,5.00,3632.10
29.82,5.00,3632.10
29.90,5.00,3650.10
30.00,5.00,3670.10
30.10,5.50,3690.10
30.20,5.00,3712.10
30.30,4.50,3462.00
30.40,5.00,3260.62
30.50,5.50,3740.62
30.60,5.00,4187.57
30.70,4.50,4603.57
30.80,6.00,4130.88
30.90,4.50,4346.34
31.00,5.00,4558.22
31.10,5.00,4768.22
31.20,5.00,4981.03
31.30,5.50,5193.38
31.40,5.00,5405.41
31.50,4.50,5550.56
31.60,5.00,5550.56
31.70,5.00,5550.56
31.80,5.00,5550.56
31.90,5.00,5550.56
32.00,5.00,5550.56
32.10,5.00,5550.56
32.20,5.00,5550.56
32.30,5.00,5550.56
32.40,5.00,5550.56
32.50,5.00,5550.56
32.60,5.00,5550.56
32.70,5.00,5550.56
32.80,5.00,5550.56
32.90,5.00,5550.56
33.00,5.50,5550.56
33.10,5.00,5550.56
33.20,5.00,5550.56
33.30,5.00,5550.56
33.40,5.00,5550.56
33.50,5.00,5550.56
33.60,5.00,5012.63
33.70,5.00,5502.63
33.80,5.00,4120.19
33.90,5.00,4349.88
34.00,5.00,4579.25
34.10,5.00,4808.79
34.20,5.00,5025.50
34.30,5.00,5238.63
34.40,5.00,5452.38
34.50,5.00,5554.57
34.60,5.00,5554.57
34.70,5.00,5554.57
34.80,5.00,5554.57
34.90,5.00,5554.57
35.00,5.00,5554.57
35.10,5.00,5554.57
35.20,5.00,5554.57
35.30,5.00,5554.57
35.40,5.00,5554.57
35.50,5.00,5554.57
35.60,5.00,5554.57
35.70,5.00,5554.57
35.80,5.00,5554.57
35.90,5.00,5554.57
36.00,5.00,5554.57
36.10,5.00,5554.57
36.20,5.00,5554.57
36.30,5.00,5554.57
36.40,5.00,5554.57
36.50,5.50,5288.64
36.60,4.50,5168.64
36.70,5.00,5136.64
36.80,5.50,5070.63
36.90,4.50,5432.63
37.00,5.00,5696.04
37.10,5.50,5912.60
37.20,5.00,6128.85
37.30,4.50,6343.23
37.40,5.50,6533.85
37.50,4.50,6722.29
37.60,5.50,6910.88
37.70,4.50,7090.57
37.80,5.00,7090.57
37.90,5.00,7090.57
38.00,5.00,7090.57
38.10,5.00,7090.57
38.20,5.00,7090.57
38.30,5.50,7090.57
38.40,5.00,7090.57
38.50,5.00,7090.57
38.60,5.00,7090.57
38.70,5.00,7090.57
38.80,5.00,7090.57
38.90,5.00,7090.57
39.00,5.00,7090.57
39.10,5.00,7090.57
39.20,5.00,7090.57
39.30,5.00,7090.57
39.40,5.00,7090.57
39.50,5.00,7090.57
39.60,5.00,7090.57
39.70,5.00,7090.57
39.80,5.00,7090.57
39.90,4.50,6977.00
40.00,5.50,6652.64
40.10,5.00,6876.64
40.20,4.50,4252.63
40.30,5.50,4656.63
40.40,4.50,3250.62
41.30,5.00,3632.10
49.75,0.00,3632.10
49.80,5.00,3642.10
49.90,5.00,3660.10
50.00,5.50,3678.10
50.10,5.00,3696.10
50.20,5.00,3714.10
50.30,4.50,3464.00
50.40,5.00,3262.62
50.50,5.00,3742.62
50.60,5.00,4191.57
50.70,5.00,4605.57
50.80,5.00,4135.88
50.90,5.50,4350.88
51.00,4.50,4559.00
51.10,5.00,4770.88
