time_sec,cpu_percent,memory_mb
96.87,0.00,4858.71
96.90,6.90,4868.55
97.00,4.50,4896.55
97.10,5.00,4926.55
97.20,5.50,4954.55
97.30,4.50,4984.55
97.40,5.00,5012.55
97.50,5.00,5042.55
97.60,5.50,5070.55
97.70,5.00,5100.55
97.80,5.00,5130.55
97.90,5.50,5158.55
98.00,4.50,5188.55
98.10,5.00,5216.55
98.20,5.00,5246.55
98.30,5.50,5274.55
98.40,5.00,5304.55
98.50,5.00,5334.55
98.60,5.00,5362.55
98.70,5.00,5392.55
98.80,5.00,5420.55
98.90,5.00,5450.55
99.00,5.00,5478.55
99.10,5.00,5508.55
99.20,5.50,5536.55
99.30,5.00,5566.55
99.40,5.00,5594.55
99.50,4.50,5624.55
99.60,5.50,5652.55
99.70,5.00,5682.55
99.80,5.00,5712.55
99.90,5.50,5740.55
100.00,4.50,5770.55
100.10,5.00,5798.55
100.20,5.50,2261.53
100.30,4.50,2947.53
100.40,5.00,3635.53
100.50,5.00,4321.53
100.60,5.50,5007.53
100.70,5.00,5695.53
100.80,5.50,6381.53
100.90,4.50,7067.53
101.00,5.00,7753.53
101.10,5.00,8439.53
101.20,5.50,9125.53
101.30,5.00,8783.26
101.40,5.00,9265.26
101.50,5.00,9745.26
101.60,5.00,10227.26
101.70,5.00,10707.26
101.80,5.00,11187.26
101.90,5.00,11669.26
102.00,5.00,12149.26
102.10,5.00,12629.26
102.20,5.50,13113.26
102.30,4.50,13593.26
102.40,5.50,14075.26
102.50,5.00,14555.26
102.60,5.00,15035.26
102.70,5.00,15517.26
102.80,5.00,15999.26
102.90,5.00,16450.66
103.00,5.00,16862.66
103.10,5.00,17274.66
103.20,5.50,17688.66
103.30,4.50,18100.66
103.40,5.50,18512.66
103.50,5.00,18926.66
103.60,4.50,19338.66
103.70,5.50,19754.66
103.80,5.00,20166.66
103.90,5.00,20580.66
104.00,5.50,20994.66
104.10,5.00,21408.66
104.20,4.50,21822.66
104.30,5.00,22236.66
104.40,5.50,22648.66
104.50,5.00,23062.66
104.60,5.00,23476.66
104.70,5.00,23890.66
104.80,5.00,16424.66
104.90,5.00,16618.10
105.00,5.00,16812.95
105.10,5.00,17009.66
105.20,5.50,17208.10
105.30,5.00,17406.70
105.40,5.00,17605.29
105.50,4.50,17803.10
105.60,5.50,18002.16
105.70,5.00,18201.54
105.80,5.00,18402.01
105.90,5.00,18601.23
106.00,5.00,18801.70
106.10,5.00,19001.85
106.20,5.00,19204.04
106.30,5.50,19405.60
106.40,5.00,19607.79
106.50,4.50,19809.35
106.60,5.50,20011.38
106.70,5.00,20213.26
106.80,5.00,20415.13
106.90,5.50,20617.95
107.00,4.50,20820.13
107.10,5.00,21021.54
107.20,5.00,21222.79
107.30,5.00,21425.13
107.40,5.50,21627.48
107.50,5.00,21829.04
107.60,5.00,22030.13
107.70,5.00,22230.29
107.80,5.00,22430.29
107.90,5.00,22629.51
108.00,5.50,22826.85
108.10,4.50,23022.95
108.20,5.50,23223.88
108.30,5.00,23424.35
108.40,5.00,23620.29
108.50,5.00,23815.60
108.60,4.50,24009.04
108.70,5.50,24222.01
108.80,5.00,24434.98
108.90,5.00,24648.10
109.00,5.00,24862.48
109.10,5.00,25076.23
109.20,5.50,25290.13
109.30,5.00,25504.04
109.40,4.50,25717.95
109.50,5.50,25931.38
109.60,5.00,26145.45
109.70,5.00,26359.20
109.80,5.00,26573.10
