time_sec,cpu_percent,memory_mb
9.28,0.00,568.03
9.30,4.70,575.88
9.40,5.40,603.88
9.50,4.50,633.88
9.60,5.00,661.88
9.70,5.50,881.77
9.80,5.00,1289.35
9.90,5.00,1740.29
10.00,5.00,2144.29
10.10,5.00,1743.51
10.20,5.00,1948.35
10.30,5.00,2144.76
10.40,5.00,2343.04
10.50,5.00,2540.54
10.60,5.00,2746.95
10.70,5.00,2953.20
10.80,5.00,3159.91
10.90,5.50,3368.66
11.00,5.00,3578.20
11.10,5.00,3787.88
11.20,4.50,3998.82
11.30,5.50,4017.73
11.40,5.00,4017.73
11.50,5.00,4017.73
11.60,5.00,4017.73
11.70,5.00,4017.73
11.80,5.00,4017.73
11.90,5.00,4017.73
12.00,5.00,4017.73
12.10,5.00,4017.73
12.20,5.50,4017.73
12.30,5.00,4017.73
12.40,5.00,4017.73
12.50,5.00,4017.73
12.60,5.00,4017.73
12.70,5.00,4017.73
12.80,5.00,4017.73
12.90,5.50,4017.73
13.00,5.00,4017.73
13.10,5.00,4017.73
13.20,5.00,4017.73
13.30,5.00,3790.51
13.40,5.00,3605.80
13.50,4.50,3739.80
13.60,5.50,2642.98
13.70,5.00,2868.45
13.80,5.00,3094.39
13.90,5.00,3315.33
14.00,5.00,3528.30
14.10,5.50,3740.95
14.20,4.50,3950.33
14.30,5.00,4021.73
14.40,5.50,4021.73
14.50,5.00,4021.73
14.60,5.00,4021.73
14.70,5.00,4021.73
14.80,5.00,4021.73
14.90,5.00,4021.73
15.00,5.00,4021.73
15.10,5.00,4021.73
15.20,5.00,4021.73
15.30,5.00,4021.73
15.40,5.50,4021.73
15.50,5.00,4021.73
15.60,5.00,4021.73
15.70,5.50,4021.73
15.80,5.00,4021.73
15.90,5.00,4021.73
16.00,5.00,4021.73
16.10,5.00,4021.73
16.20,5.00,4021.73
16.30,5.00,4021.73
16.40,5.00,3499.80
16.50,4.50,3971.80
16.60,5.50,3415.80
16.70,5.00,3759.80
16.80,5.00,4072.58
16.90,5.50,4284.30
17.00,4.50,4496.18
17.10,5.50,4708.36
17.20,4.50,4904.77
17.30,5.50,5091.02
17.40,5.00,5274.46
17.50,5.00,5458.36
17.60,5.00,5557.89
17.70,5.00,5557.89
17.80,5.00,5557.89
17.90,5.00,5557.89
18.00,5.00,5557.89
18.10,5.00,5557.89
18.20,5.00,5557.89
18.30,5.00,5557.89
18.40,5.00,5557.89
18.50,5.00,5557.89
18.60,5.00,5557.89
18.70,5.50,5557.89
18.80,5.00,5557.89
18.90,5.00,5557.89
19.00,5.00,5557.89
19.10,5.00,5557.89
19.20,5.00,5557.89
19.30,5.00,5557.89
19.40,5.00,5557.89
19.50,5.00,5557.89
19.60,5.00,5557.89
19.70,5.00,5557.89
19.80,5.50,5406.44
19.90,5.00,5105.96
20.00,5.00,5499.97
20.10,5.00,2675.95
20.20,5.00,3067.95
20.30,5.50,2568.24
20.40,5.00,2725.58
20.50,5.00,2899.18
20.60,5.50,3072.46
21.55,5.00,3625.30
30.02,5.00,3625.30
30.10,5.20,3641.30
30.20,5.00,3663.30
30.30,4.50,3683.30
30.40,5.00,3705.30
30.50,5.50,3443.20
30.60,5.50,4097.20
30.70,5.00,3679.83
30.80,5.00,4120.77
30.90,5.50,4522.77
31.00,5.00,4082.67
31.10,5.00,4292.20
31.20,5.00,4496.58
31.30,5.50,4701.27
31.40,4.50,4910.33
31.50,5.50,5122.05
31.60,5.00,5333.30
31.70,5.00,5543.77
31.80,5.00,5543.77
31.90,5.00,5543.77
32.00,5.00,5543.77
32.10,5.00,5543.77
32.20,5.00,5543.77
32.30,5.00,5543.77
32.40,5.00,5543.77
32.50,5.50,5543.77
32.60,5.00,5543.77
32.70,5.00,5543.77
32.80,5.00,5543.77
32.90,5.00,5543.77
33.00,5.00,5543.77
33.10,5.50,5543.77
33.20,5.00,5543.77
33.30,5.00,5543.77
33.40,5.00,5543.77
33.50,5.00,5543.77
33.60,5.00,5543.77
33.70,5.00,5543.77
33.80,5.00,5153.84
33.90,5.00,5167.83
34.00,5.00,5127.12
34.10,5.50,4180.11
34.20,5.00,4404.64
34.30,4.50,4628.39
34.40,5.00,4848.08
34.50,5.50,5062.77
34.60,5.00,5275.43
34.70,4.50,5487.14
34.80,5.00,5547.77
34.90,5.00,5547.77
35.00,5.00,5547.77
35.10,5.00,5547.77
35.20,5.50,5547.77
35.30,5.00,5547.77
35.40,5.00,5547.77
35.50,5.00,5547.77
35.60,5.00,5547.77
35.70,5.00,5547.77
35.80,5.00,5547.77
35.90,5.00,5547.77
36.00,5.00,5547.77
36.10,5.00,5547.77
36.20,5.00,5547.77
36.30,5.00,5547.77
36.40,5.00,5547.77
36.50,5.50,5547.77
36.60,5.50,5547.77
36.70,5.00,5547.77
36.80,5.00,5547.77
36.90,4.50,5069.84
37.00,5.00,5541.84
37.10,5.50,4973.84
37.20,4.50,5321.84
37.30,5.50,5620.65
37.40,5.00,5832.37
37.50,5.00,6042.37
37.60,4.50,6254.40
37.70,5.50,6449.71
37.80,5.00,6636.27
37.90,5.00,6820.80
38.00,5.50,7005.18
38.10,4.50,7083.77
38.20,5.00,7083.77
38.30,5.00,7083.77
38.40,5.00,7083.77
38.50,5.00,7083.77
38.60,5.00,7083.77
38.70,5.50,7083.77
38.80,5.00,7083.77
38.90,5.00,7083.77
39.00,5.00,7083.77
39.10,5.50,7083.77
39.20,5.00,7083.77
39.30,5.00,7083.77
39.40,5.00,7083.77
39.50,5.00,7083.77
39.60,5.00,7083.77
39.70,5.00,7083.77
39.80,5.00,7083.77
39.90,5.00,7083.77
40.00,5.00,7083.77
40.10,5.00,7083.77
40.20,5.00,7083.77
40.30,5.00,6615.85
40.40,5.50,6711.84
40.50,4.50,6667.14
40.60,5.50,4279.83
40.70,4.50,4671.83
40.80,6.00,3243.83
41.70,5.00,3625.30
50.11,0.00,3625.30
50.20,5.30,3643.30
50.30,5.00,3661.30
50.40,4.50,3679.30
50.50,5.50,3697.30
50.60,5.00,3715.30
50.70,5.00,3759.20
50.80,5.00,3443.83
50.90,5.00,3905.83
51.00,5.00,4318.77
51.10,5.50,4718.77
51.20,5.00,4185.02
51.30,5.50,4391.42
51.40,5.00,4598.92
51.50,4.50,4807.52
51.60,5.00,5018.30
51.70,5.50,5229.70
51.80,4.50,5440.80
51.90,5.50,5543.77
52.00,5.00,5543.77
52.10,5.00,5543.77
52.20,5.00,5543.77
52.30,5.00,5543.77
52.40,5.00,5543.77
52.50,5.00,5543.77
52.60,5.50,5543.77
52.70,5.00,5543.77
52.80,5.00,5543.77
52.90,5.00,5543.77
53.00,5.00,5543.77
53.10,5.00,5543.77
53.20,5.00,5543.77
53.30,5.00,5543.77
53.40,5.00,5543.77
53.50,5.00,5543.77
53.60,5.00,5543.77
53.70,5.50,5543.77
53.80,5.00,5543.77
53.90,5.00,5543.77
54.00,5.00,4927.83
54.10,5.00,5399.83
54.20,5.00,4067.93
54.30,5.00,4293.39
54.40,5.50,4516.52
54.50,5.00,4741.52
54.60,4.50,4956.52
54.70,5.50,5170.43
54.80,5.00,5381.99
54.90,5.00,5547.77
55.00,5.00,5547.77
55.10,5.00,5547.77
55.20,5.00,5547.77
55.30,5.00,5547.77
55.40,5.00,5547.77
55.50,5.00,5547.77
55.60,5.00,5547.77
55.70,5.00,5547.77
55.80,5.00,5547.77
55.90,5.50,5547.77
56.00,5.00,5547.77
56.10,5.00,5547.77
56.20,5.00,5547.77
56.30,5.00,5547.77
56.40,5.00,5547.77
56.50,5.00,5547.77
56.60,5.00,5547.77
56.70,5.00,5547.77
56.80,5.00,5547.77
56.90,5.00,5547.77
57.00,5.50,4825.84
57.10,5.00,5297.84
