time_sec,cpu_percent,memory_mb
9.35,0.00,567.64
9.40,5.30,581.48
9.50,4.50,611.48
9.60,5.40,639.48
9.70,5.00,399.38
9.80,5.00,974.96
9.90,5.00,1460.96
10.00,5.00,1909.90
10.10,5.00,2323.90
10.20,5.00,1838.43
10.30,5.00,2044.37
10.40,4.50,2245.77
10.50,5.50,2446.24
10.60,5.00,2654.99
10.70,5.00,2865.77
10.80,5.00,3078.12
10.90,5.00,3289.52
11.00,5.00,3499.68
11.10,5.00,3708.59
11.20,5.00,3917.34
11.30,5.00,4017.34
11.40,5.00,4017.34
11.50,5.00,4017.34
11.60,5.00,4017.34
11.70,5.00,4017.34
11.80,5.00,4017.34
11.90,5.00,4017.34
12.00,5.00,4017.34
12.10,5.00,4017.34
12.20,5.00,4017.34
12.30,5.00,4017.34
12.40,5.00,4017.34
12.50,5.00,4017.34
12.60,5.00,4017.34
12.70,5.00,4017.34
12.80,5.00,4017.34
12.90,5.00,4017.34
13.00,5.00,4017.34
13.10,5.00,4017.34
13.20,5.00,4017.34
13.30,5.00,4017.34
13.40,5.00,3561.41
13.50,5.00,3831.41
13.60,5.00,2637.59
13.70,5.00,2865.41
13.80,5.00,3094.16
13.90,5.00,3317.59
14.00,4.50,3532.75
14.10,5.00,3746.03
14.20,5.50,3957.59
14.30,5.00,4021.34
14.40,5.00,4021.34
14.50,5.00,4021.34
14.60,5.00,4021.34
14.70,5.00,4021.34
14.80,5.00,4021.34
14.90,5.00,4021.34
15.00,5.00,4021.34
15.10,5.00,4021.34
15.20,5.00,4021.34
15.30,5.00,4021.34
15.40,5.00,4021.34
15.50,5.00,4021.34
15.60,5.00,4021.34
15.70,5.00,4021.34
15.80,5.00,4021.34
15.90,5.00,4021.34
16.00,5.00,4021.34
16.10,5.00,4021.34
16.20,5.00,4021.34
16.30,5.00,3409.42
16.40,5.00,3709.41
16.50,4.50,3263.76
16.60,5.00,3607.43
16.70,5.50,3965.43
16.80,5.00,4198.46
16.90,5.00,4409.55
17.00,5.00,4621.58
17.10,5.00,4827.52
17.20,5.00,5014.55
17.30,5.00,5202.36
17.40,5.00,5390.49
17.50,5.00,5557.36
17.60,5.00,5557.36
17.70,5.00,5557.36
17.80,5.00,5557.36
17.90,5.00,5557.36
18.00,5.00,5557.36
18.10,5.00,5557.36
18.20,5.00,5557.36
18.30,5.00,5557.36
18.40,5.00,5557.36
18.50,5.00,5557.36
18.60,5.00,5557.36
18.70,5.00,5557.36
18.80,5.00,5557.36
18.90,5.00,5557.36
19.00,5.00,5557.36
19.10,5.00,5557.36
19.20,5.00,5557.36
