time_sec,cpu_percent,memory_mb
9.33,0.00,567.50
9.40,5.40,589.34
9.50,5.00,619.34
9.60,5.00,647.34
9.70,4.50,587.24
9.80,5.50,1106.82
9.90,5.00,1594.82
10.00,5.00,2023.77
10.10,4.50,2437.77
10.20,5.00,1889.86
10.30,5.00,2094.54
10.40,5.50,2297.67
10.50,5.00,2498.45
10.60,5.00,2708.61
10.70,5.00,2918.76
10.80,5.00,3128.76
10.90,5.00,3340.01
11.00,4.50,3551.11
11.10,5.50,3762.36
11.20,5.00,3973.14
11.30,5.00,4017.04
11.40,5.00,4017.04
11.50,5.00,4017.04
11.60,5.00,4017.04
11.70,5.00,4017.04
11.80,5.00,4017.04
11.90,5.00,4017.04
12.00,5.00,4017.04
12.10,5.00,4017.04
12.20,5.00,4017.04
12.30,5.00,4017.04
12.40,5.00,4017.04
12.50,5.00,4017.04
12.60,5.00,4017.04
12.70,5.00,4017.04
12.80,5.00,4017.04
12.90,5.00,4017.04
13.00,5.00,4017.04
13.10,5.00,4017.04
13.20,5.00,4017.04
13.30,5.00,3486.76
13.40,5.00,3685.11
13.50,5.00,3373.12
13.60,4.50,2689.49
13.70,5.50,2920.27
13.80,4.50,3149.96
13.90,5.50,3371.68
14.00,5.00,3585.58
14.10,4.50,3796.83
14.20,5.50,4007.93
14.30,4.50,4021.05
14.40,5.00,4021.05
14.50,5.00,4021.05
14.60,5.00,4021.05
14.70,5.00,4021.05
14.80,5.00,4021.05
14.90,5.00,4021.05
15.00,5.00,4021.05
15.10,5.00,4021.05
15.20,5.00,4021.05
15.30,5.00,4021.05
15.40,5.00,4021.05
15.50,5.00,4021.05
15.60,5.00,4021.05
15.70,5.00,4021.05
15.80,5.00,4021.05
15.90,5.00,4021.05
16.00,5.00,4021.05
16.10,5.00,4021.05
16.20,5.00,4021.05
16.30,5.00,3311.12
16.40,5.00,3803.12
16.50,5.50,3305.12
16.60,4.50,3663.12
16.70,5.50,4021.59
16.80,5.00,4234.40
16.90,4.50,4449.09
17.00,5.50,4663.46
17.10,4.50,4868.00
17.20,5.00,5055.96
17.30,5.50,5240.81
17.40,4.50,5426.90
17.50,5.00,5557.21
17.60,5.00,5557.21
17.70,5.00,5557.21
17.80,5.00,5557.21
17.90,5.00,5557.21
18.00,5.00,5557.21
18.10,5.00,5557.21
18.20,5.00,5557.21
18.30,5.00,5557.21
18.40,5.00,5557.21
18.50,5.00,5557.21
18.60,5.00,5557.21
18.70,5.00,5557.21
18.80,5.00,5557.21
18.90,5.00,5557.21
19.00,5.00,5557.21
19.10,5.00,5557.21
19.20,5.00,5557.21
19.30,5.00,5557.21
19.40,5.00,5557.21
19.50,5.00,5557.21
19.60,5.00,5557.21
19.70,5.00,5140.58
19.80,5.00,5189.29
19.90,5.00,5061.29
20.00,5.50,2783.27
20.10,5.00,3185.27
20.20,5.00,2623.65
20.30,5.00,2799.28
