time_sec,cpu_percent,memory_mb
94.12,0.00,4858.33
94.20,5.30,4880.17
94.30,5.50,4910.17
94.40,4.50,4938.17
94.50,5.00,4968.17
94.60,5.00,4996.17
94.70,5.00,5026.17
94.80,5.00,5056.17
94.90,5.00,5084.17
95.00,5.50,5114.17
95.10,5.00,5142.17
95.20,5.00,5172.17
95.30,5.00,5200.17
95.40,5.00,5230.17
95.50,5.00,5258.17
95.60,5.00,5288.17
95.70,5.50,5316.17
95.80,5.00,5346.17
95.90,5.00,5374.17
96.00,5.00,5404.17
96.10,5.00,5432.17
96.20,5.00,5462.17
96.30,5.00,5490.17
96.40,5.00,5520.17
96.50,5.00,5548.17
96.60,5.00,5578.17
96.70,5.50,5606.17
96.80,4.50,5636.17
96.90,5.00,5664.17
97.00,5.50,5694.17
97.10,5.00,5724.17
97.20,4.50,5752.17
97.30,5.50,5782.17
97.40,5.00,5810.17
97.50,5.00,2513.15
97.60,5.00,3171.15
97.70,5.00,3827.15
97.80,5.00,4485.15
97.90,5.50,5143.15
98.00,4.50,5801.15
98.10,5.50,6459.15
98.20,5.00,7117.15
98.30,5.00,7775.15
98.40,5.00,8433.15
98.50,5.00,9091.15
98.60,5.00,8738.88
98.70,5.00,9202.88
98.80,5.50,9664.88
98.90,4.50,10126.88
99.00,5.00,10590.88
99.10,5.50,11052.88
99.20,5.00,11516.88
99.30,5.00,11980.88
99.40,5.00,12444.88
99.50,5.00,12908.88
99.60,5.00,13370.88
99.70,5.00,13832.88
99.80,5.00,14296.88
99.90,5.00,14760.88
100.00,5.50,15224.88
100.10,5.00,15688.88
100.20,4.50,16152.88
100.30,5.00,16570.27
100.40,5.50,16972.27
100.50,5.00,17376.27
100.60,5.00,17778.27
100.70,5.00,18180.27
100.80,5.00,18584.27
100.90,5.50,18986.27
101.00,5.00,19390.27
101.10,4.50,19794.27
101.20,5.00,20198.27
101.30,5.50,20602.27
101.40,5.00,21006.27
101.50,4.50,21408.27
101.60,5.50,21812.27
101.70,5.00,22216.27
101.80,5.00,22620.27
101.90,5.00,23024.27
102.00,5.00,23428.27
102.10,5.00,23832.27
102.20,5.50,16396.16
102.30,5.00,16589.91
102.40,4.50,16785.38
102.50,5.00,16982.41
102.60,5.50,17180.69
102.70,5.00,17378.97
102.80,5.00,17577.09
102.90,5.00,17775.38
103.00,5.00,17974.12
103.10,5.00,18172.72
103.20,5.40,18369.59
103.30,5.00,18567.72
103.40,4.50,18765.69
103.50,5.50,18965.06
103.60,5.00,19164.44
103.70,5.00,19363.97
103.80,5.00,19563.66
103.90,5.00,19763.19
104.00,5.00,19963.19
104.10,5.00,20162.88
104.20,5.00,20362.09
104.30,5.00,20562.41
104.40,5.00,20762.56
104.50,5.50,20962.41
104.60,5.00,21162.09
104.70,5.00,21360.06
104.80,5.00,21559.59
104.90,5.50,21759.44
105.00,4.50,21959.75
105.10,5.00,22160.53
105.20,5.00,22361.47
105.30,5.00,22561.31
105.40,5.50,22757.88
105.50,5.00,22955.06
105.60,5.00,23152.09
105.70,5.00,23348.66
105.80,5.00,23545.53
105.90,5.00,23740.53
106.00,5.00,23933.50
106.10,5.00,24137.88
106.20,5.00,24349.75
106.30,5.00,24561.47
106.40,5.50,24772.09
106.50,5.00,24984.12
106.60,5.00,25196.78
106.70,5.00,25408.50
106.80,5.00,25619.59
106.90,5.00,25830.22
107.00,5.00,26042.41
107.10,5.00,26254.28
107.20,5.00,26464.91
107.30,5.00,26676.31
107.40,5.50,26887.72
107.50,5.00,27100.06
107.60,4.50,27312.56
107.70,5.50,27524.28
107.80,5.00,27736.78
107.90,5.00,27948.81
108.00,5.00,28161.00
108.10,5.00,28373.66
108.20,5.50,28585.84
108.30,4.50,28797.72
108.40,5.50,29009.91
108.50,4.50,29222.25
108.60,5.50,29434.12
108.70,5.00,29645.06
108.80,5.00,29857.41
108.90,5.00,30068.66
109.00,5.50,30280.84
109.10,4.50,30493.34
109.20,5.00,30705.38
109.30,5.00,30916.31
109.40,5.50,31127.88
109.50,5.00,31340.22
109.60,5.00,31552.41
109.70,5.00,31758.81
109.80,5.00,31958.97
109.90,5.00,32159.91
110.00,5.00,32360.53
110.10,5.00,32562.09
110.20,5.00,32763.19
110.30,5.50,32964.28
110.40,5.00,33165.84
110.50,5.00,33367.41
110.60,5.00,33568.19
110.70,5.00,33769.59
110.80,5.00,33970.84
110.90,5.00,34171.94
111.00,5.50,34373.50
111.10,5.00,34574.75
111.20,5.00,34776.00
111.30,5.00,34977.56
111.40,4.50,35178.97
111.50,5.00,35380.22
111.60,5.50,35581.78
111.70,5.00,35783.50
111.80,5.00,35985.06
111.90,5.00,36186.94
112.00,5.00,36388.50
112.10,5.50,36590.22
112.20,5.00,36790.84
112.30,5.00,36992.72
112.40,5.00,37194.28
112.50,4.50,37394.12
112.60,5.50,37595.84
112.70,5.00,37797.41
112.80,5.00,37999.12
112.90,5.00,38200.06
113.00,5.00,38401.00
113.10,5.50,38602.56
113.20,5.00,38803.97
113.30,5.00,39004.75
113.40,4.50,39206.47
113.50,5.50,39343.81
113.60,5.00,39343.81
113.70,5.00,39343.81
113.80,5.00,39343.81
113.90,5.00,39343.81
114.00,5.00,39343.81
114.10,5.00,39343.81
114.20,5.00,39343.81
114.30,5.00,39343.81
114.40,5.00,39343.81
114.50,5.00,39343.81
114.60,5.50,39343.81
114.70,5.00,39343.81
114.80,5.00,39343.81
114.90,5.50,39343.81
115.00,5.00,39343.81
115.10,5.00,39343.81
115.20,5.00,39343.81
115.30,5.00,39343.81
115.40,5.00,39343.81
115.50,5.00,39343.81
115.60,5.50,39343.81
115.70,5.00,39343.81
115.80,5.00,39343.81
115.90,5.00,39343.81
116.00,5.00,39343.81
116.10,5.00,39343.81
116.20,5.00,39343.81
116.30,5.00,39343.81
116.40,5.00,39343.81
116.50,5.00,39343.81
116.60,5.50,39343.81
116.70,5.00,39343.81
116.80,7.00,39343.81
116.90,5.00,39343.81
117.00,5.00,39343.81
117.10,5.00,39343.81
117.20,5.00,39343.81
117.30,5.00,39343.81
117.40,5.00,39343.81
117.50,5.00,39343.81
117.60,5.00,39343.81
117.70,5.50,39343.81
117.80,5.00,39343.81
117.90,5.00,39343.81
118.00,5.00,39343.81
118.10,5.00,39343.81
118.20,5.00,39343.81
118.30,5.00,39343.81
118.40,5.00,39343.81
118.50,5.00,39343.81
118.60,5.00,39343.81
118.70,5.00,39343.81
118.80,5.00,39343.81
118.90,5.00,39343.81
119.00,5.00,39343.81
119.10,5.00,39343.81
119.20,5.00,39343.81
119.30,5.00,39343.81
119.40,5.50,39343.81
119.50,5.50,39343.81
119.60,5.00,39343.81
119.70,5.00,39343.81
119.80,5.00,39343.81
119.90,5.00,39343.81
120.00,5.00,39343.81
120.10,5.00,39343.81
120.20,5.00,39343.81
120.30,5.00,39343.81
120.40,5.00,39343.81
120.50,5.00,39343.81
120.60,5.00,39343.81
120.70,5.00,39343.81
120.80,5.00,39343.81
120.90,5.00,39343.81
121.00,5.00,39343.81
121.10,5.00,39343.81
121.20,5.00,39343.81
121.30,5.00,39343.81
121.40,5.50,39343.81
121.50,5.00,39343.81
121.60,5.00,39343.81
121.70,5.00,39343.81
121.80,5.00,39343.81
121.90,5.00,39343.81
122.00,5.50,39343.81
122.10,5.00,39343.81
122.20,5.00,39343.81
122.30,5.00,39343.81
122.40,5.00,39343.81
122.50,5.00,39343.81
122.60,5.50,39343.81
122.70,5.00,39343.81
122.80,5.00,39343.81
122.90,5.00,39343.81
123.00,5.00,39343.81
123.10,5.00,39343.81
123.20,5.00,39343.81
123.30,5.00,39343.81
123.40,5.00,39343.81
123.50,5.00,39343.81
123.60,5.00,39343.81
123.70,5.00,39343.81
123.80,5.00,39343.81
123.90,5.50,39343.81
124.00,5.00,39343.81
124.10,5.00,39343.81
124.20,5.00,39343.81
124.30,5.00,39343.81
124.40,5.00,39343.81
124.50,5.00,39343.81
124.60,5.00,39343.81
124.70,5.50,39343.81
124.80,5.00,39343.81
124.90,5.00,39343.81
125.00,5.00,39343.81
125.10,5.00,39343.81
125.20,5.00,39343.81
125.30,5.00,39343.81
125.40,5.00,39343.81
125.50,5.00,39343.81
125.60,5.00,39343.81
125.70,5.00,39343.81
125.80,5.00,39343.81
125.90,5.00,39343.81
126.00,5.50,39343.81
126.10,5.00,39343.81
126.20,5.00,39343.81
126.30,5.00,39343.81
126.40,5.00,39343.81
126.50,5.00,39343.81
126.60,5.00,39343.81
126.70,5.00,39343.81
126.80,5.00,39343.81
126.90,5.00,39343.81
127.00,5.00,39343.81
127.10,5.50,39343.81
127.20,5.00,39343.81
127.30,5.00,39343.81
127.40,5.00,39343.81
127.50,5.00,39343.81
127.60,5.00,39343.81
127.70,5.00,39343.81
127.80,5.00,39343.81
127.90,5.00,39343.81
128.00,5.00,39343.81
128.10,5.00,39343.81
128.20,5.50,39343.81
128.30,5.00,39343.81
128.40,5.00,39343.81
128.50,5.00,39343.81
128.60,5.00,39343.81
128.70,5.00,39343.81
128.80,5.50,39343.81
128.90,5.00,39343.81
129.00,5.00,39343.81
129.10,5.00,39343.81
129.20,5.00,39343.81
129.30,5.00,39343.81
129.40,5.00,39343.81
129.50,5.00,39343.81
129.60,5.00,39343.81
129.70,5.00,39343.81
129.80,5.00,39343.81
129.90,5.00,39343.81
130.00,5.00,39343.81
130.10,5.00,39343.81
130.20,5.50,39343.81
130.30,5.00,39343.81
130.40,5.00,39343.81
130.50,5.50,39343.81
130.60,5.00,39343.81
130.70,5.00,39343.81
130.80,5.00,39343.81
130.90,5.00,39343.81
131.00,5.00,39343.81
131.10,5.00,39343.81
131.20,5.00,39343.81
131.30,5.00,39343.81
131.40,5.00,39343.81
131.50,5.00,39343.81
131.60,5.00,39343.81
131.70,5.50,39343.81
131.80,5.00,39343.81
131.90,5.00,39343.81
132.00,5.00,39343.81
132.10,5.00,39343.81
132.20,5.00,39343.81
132.30,5.00,39343.81
132.40,5.00,39343.81
132.50,5.00,39343.81
132.60,5.50,39343.81
132.70,5.00,39343.81
132.80,5.00,39343.81
132.90,5.00,39343.81
133.00,5.00,39343.81
133.10,5.00,39343.81
133.20,5.00,39343.81
133.30,5.00,39343.81
133.40,5.00,39343.81
133.50,5.00,39343.81
133.60,5.00,39343.81
133.70,5.50,39343.81
133.80,5.00,39343.81
133.90,5.00,39343.81
134.00,5.00,39343.81
134.10,5.00,39343.81
134.20,5.00,39343.81
134.30,5.00,39343.81
134.40,5.00,39343.81
134.50,5.00,39343.81
134.60,5.00,39343.81
134.70,5.00,39343.81
134.80,5.00,39343.81
134.90,5.00,39343.81
135.00,5.00,39343.81
135.10,5.00,39343.81
135.20,5.00,39343.81
135.30,5.00,39343.81
