time_sec,cpu_percent,memory_mb
0.96,0.00,138.66
1.00,4.50,179.96
1.10,5.00,384.75
1.20,5.00,493.34
1.30,5.00,493.34
1.40,5.00,422.70
1.50,5.00,493.95
1.60,5.00,493.95
1.70,5.00,569.18
1.80,5.00,647.78
1.90,5.00,647.78
2.00,5.40,358.98
2.13,5.00,454.20
2.99,5.10,454.20
3.00,0.00,454.20
3.10,5.00,518.61
3.20,5.00,646.11
3.30,5.00,646.11
3.40,5.50,559.20
3.50,5.00,646.70
3.60,5.00,646.70
3.70,5.00,706.15
3.80,5.50,800.37
3.90,5.00,800.37
4.00,5.00,416.06
4.54,5.00,454.21
4.96,0.00,454.21
5.00,4.80,454.21
5.10,5.00,575.32
5.20,5.50,646.11
5.30,5.00,646.11
5.40,5.00,619.20
5.50,5.00,646.70
5.60,4.50,577.84
5.70,5.50,761.62
5.80,5.00,800.37
5.90,5.00,800.37
6.07,5.00,454.21
6.94,0.00,454.21
7.00,5.00,500.36
7.10,5.50,646.11
7.20,5.00,646.11
7.30,4.50,495.45
7.40,5.50,646.70
7.50,5.00,646.70
7.60,5.00,646.78
7.70,5.00,800.38
7.80,5.00,800.38
7.90,5.00,752.52

Total Execution Time,8.0003,seconds
