time_sec,cpu_percent,memory_mb
0.00,0.00,206.85
0.10,9.70,206.88
0.20,7.70,206.88
0.30,0.00,206.89
0.40,0.00,206.89
0.50,0.00,206.89
0.60,0.00,206.90
0.70,0.00,206.90
0.80,9.20,206.91
0.90,8.70,206.91
1.00,8.50,206.91
1.10,9.00,206.92
1.20,7.50,206.92
1.30,8.40,206.93
1.40,0.00,206.93
1.50,0.00,206.93
1.60,0.00,206.93
1.70,0.00,206.94
1.80,10.70,206.94
1.90,6.80,206.95
2.00,6.40,206.95
2.10,7.50,206.95
2.20,6.70,206.96
2.30,9.20,206.96
2.40,7.30,206.97
2.50,8.80,206.97
2.60,8.20,206.98
2.70,9.80,206.98
2.80,7.20,206.99
2.90,8.30,206.99
3.00,9.10,206.99
3.10,10.70,207.00
3.20,6.50,207.00
3.30,9.00,207.01
3.40,5.90,207.01
3.50,6.30,207.02
3.60,6.50,207.02
3.70,7.40,207.02
3.80,6.00,207.03
3.90,6.90,207.03
4.00,6.60,207.04
4.10,5.80,207.04
4.20,7.30,207.04
4.30,6.50,207.05
4.40,7.60,207.05
4.50,11.40,207.05
4.60,7.10,207.05
4.70,0.00,207.06
4.80,8.50,207.06
4.90,7.50,207.07
5.00,8.90,207.07
5.10,5.90,207.07
5.20,8.30,207.08
5.30,9.70,207.08
5.40,6.40,207.09
5.50,6.40,207.09
5.60,7.60,207.09
5.70,0.00,207.09
5.80,6.40,207.10
5.90,7.20,207.10
6.00,6.90,207.11
6.10,6.40,207.11
6.20,6.80,207.11
6.30,6.30,207.12
6.40,6.30,207.12
6.50,0.00,207.12
6.60,0.00,207.13
6.70,0.00,207.13
6.80,7.40,207.13
6.90,8.10,207.14
7.00,6.40,207.14
7.10,5.90,207.14
7.20,7.90,207.15
7.30,7.60,207.15
7.40,6.50,207.16
7.50,6.80,207.16
7.60,0.00,207.16
7.70,0.00,207.16
7.80,7.30,207.17
7.90,6.60,207.17
8.00,6.30,207.18
8.10,7.90,207.18
8.20,6.30,207.26
8.30,6.90,207.26
8.40,6.40,207.27
8.50,6.30,207.27
8.60,6.20,207.28
8.70,0.00,207.28
8.80,7.00,207.29
8.90,8.10,207.29
9.00,7.20,207.29
9.10,6.40,207.30
9.20,8.80,207.38
9.30,0.00,207.39
9.40,0.00,207.39
9.50,0.00,207.40
9.60,0.00,207.40
9.70,0.00,207.41
9.80,6.60,207.41
9.90,8.30,207.42
10.00,8.80,207.42
10.10,7.60,207.43
10.20,7.00,207.43
10.30,0.00,207.44
10.40,0.00,207.44
10.50,0.00,207.45
10.60,0.00,207.45
10.70,0.00,207.46
10.80,6.60,207.46
10.90,6.80,207.46
11.00,5.90,207.47
11.10,6.00,207.47
11.20,13.60,207.48
11.30,5.90,207.48
11.40,10.20,207.48
11.50,6.50,207.49
11.60,9.40,207.50
11.70,8.70,207.50
11.80,6.50,207.50
11.90,7.00,207.51
12.00,6.80,207.52
12.10,6.50,207.52
12.20,6.40,207.52
12.30,0.00,207.52
12.40,0.00,207.53
12.50,0.00,207.54
12.60,0.00,207.54
12.70,0.00,207.54
12.80,7.00,207.55
12.90,8.10,207.56
13.00,7.00,207.57
13.10,7.60,207.57
13.20,6.50,207.58
13.30,5.80,207.58
13.40,11.70,207.59
13.50,7.00,207.59
13.60,6.00,207.59
13.70,0.00,207.60
13.80,6.30,207.61
13.90,7.60,207.61
14.00,6.00,207.61
14.10,0.00,207.62
14.20,0.00,207.62
14.30,0.00,207.62
14.40,0.00,207.63
14.50,0.00,207.63
14.60,0.00,207.63
14.70,0.00,207.63
14.80,6.60,207.63
14.90,7.10,207.63
15.00,8.70,207.64
15.10,8.90,207.64
15.20,7.60,207.64
15.30,0.00,207.64
15.40,0.00,207.64
15.50,0.00,207.64
15.60,0.00,207.64
15.70,0.00,207.64
15.80,8.80,207.64
15.90,13.30,207.64
16.00,15.80,207.64
16.10,8.50,207.64
16.20,10.20,207.64
16.30,8.90,207.64
16.40,8.40,207.65
16.50,0.00,207.65
16.60,0.00,207.65
16.70,0.00,207.65
16.80,11.40,207.65
16.90,15.20,207.65
17.00,0.00,207.65
17.10,0.00,207.65
17.20,0.00,207.66
17.30,0.00,207.66
17.40,0.00,207.66
17.50,0.00,207.66
17.60,0.00,207.66
17.70,0.00,207.66
17.80,8.80,207.66
17.90,8.80,207.66
18.00,7.40,207.66
18.10,8.10,207.66
18.20,7.50,207.66
18.30,9.40,207.66
18.40,0.00,207.66
18.50,0.00,207.66
18.60,0.00,207.67
18.70,0.00,207.67
18.80,7.30,207.67
18.90,7.30,207.67
19.00,10.30,207.67
19.10,7.10,207.67
19.20,7.00,207.67
19.30,6.40,207.67
19.40,6.80,207.68
19.50,6.50,207.68
19.60,6.90,207.68
19.70,6.50,207.68
19.80,6.90,207.68
19.90,6.30,207.68
20.00,7.00,207.68
20.10,0.00,207.68
20.20,0.00,207.68
20.30,0.00,207.68
20.40,0.00,207.68
20.50,0.00,207.68
20.60,0.00,207.68
20.70,0.00,207.68
20.80,6.60,207.69
20.90,11.00,207.69
21.00,7.00,207.69
21.10,7.40,207.69

Total Execution Time,22.8203,seconds
