time_sec,cpu_percent,memory_mb
0.00,0.00,206.72
0.10,0.00,206.77
0.20,0.00,206.77
0.30,0.00,206.78
0.40,0.00,206.79
0.50,0.00,206.79
0.60,0.00,206.80
0.70,0.00,206.80
0.80,0.00,206.81
0.90,8.70,206.83
1.00,7.40,206.84
1.10,5.80,206.84
1.20,8.80,206.85
1.30,7.00,206.86
1.40,0.00,206.86
1.50,0.00,206.87
1.60,0.00,206.88
1.70,0.00,206.89
1.80,0.00,206.89
1.90,9.30,206.90
2.00,9.20,206.90
2.10,5.90,206.91
2.20,6.40,206.92
2.30,0.00,206.92
2.40,0.00,206.93
2.50,0.00,206.93
2.60,0.00,206.94
2.70,0.00,206.95
2.80,0.00,206.95
2.90,7.00,206.95
3.00,6.00,206.96
3.10,6.40,206.96
3.20,10.50,206.97
3.30,0.00,206.98
3.40,0.00,206.98
3.50,0.00,206.98
3.60,0.00,206.99
3.70,0.00,207.00
3.80,0.00,207.00
3.90,8.40,207.00
4.00,7.80,207.01
4.10,17.40,207.02
4.20,11.60,207.02
4.30,8.60,207.03
4.40,7.00,207.04
4.50,9.10,207.04
4.60,0.00,207.04
4.70,0.00,207.05
4.80,0.00,207.05
4.90,6.90,207.06
5.00,6.20,207.07
5.10,0.00,207.07
5.20,0.00,207.08
5.30,0.00,207.08
5.40,0.00,207.09
5.50,0.00,207.09
5.60,0.00,207.17
5.70,0.00,207.17
5.80,0.00,207.18
5.90,6.80,207.19
6.00,8.70,207.19
6.10,7.30,207.20
6.20,0.00,207.21
6.30,0.00,207.30
6.40,0.00,207.30
6.50,0.00,207.31
6.60,0.00,207.32
6.70,0.00,207.32
6.80,0.00,207.33
6.90,7.00,207.34
7.00,8.00,207.34
7.10,6.80,207.35
7.20,0.00,207.36
7.30,0.00,207.36
7.40,0.00,207.37
7.50,0.00,207.38
7.60,0.00,207.38
7.70,0.00,207.39
7.80,0.00,207.39
7.90,12.60,207.40
8.00,9.80,207.41
8.10,13.40,207.41
8.20,8.20,207.42
8.30,10.40,207.43
8.40,12.10,207.43
8.50,0.00,207.44
8.60,0.00,207.45
8.70,0.00,207.45
8.80,0.00,207.46
8.90,11.70,207.46
9.00,7.60,207.47
9.10,8.40,207.48
9.20,9.50,207.48
9.30,12.00,207.49
9.40,10.00,207.50
9.50,8.00,207.50
9.60,8.10,207.51
9.70,0.00,207.52
9.80,0.00,207.52
9.90,17.90,207.53
10.00,19.00,207.53
10.10,12.40,207.54
10.20,9.80,207.55
10.30,0.00,207.55
10.40,0.00,207.55
10.50,0.00,207.56
10.60,0.00,207.56
10.70,0.00,207.56
10.80,0.00,207.56
10.90,9.70,207.56
11.00,5.90,207.56
11.10,7.20,207.57
11.20,7.30,207.57
11.30,0.00,207.57
11.40,0.00,207.57
11.50,0.00,207.57
11.60,0.00,207.57
11.70,0.00,207.57
11.80,0.00,207.57
11.90,7.80,207.57
12.00,9.00,207.58
12.10,9.80,207.58
12.20,6.20,207.58
12.30,5.70,207.58
12.40,6.30,207.58
12.50,7.90,207.58
12.60,0.00,207.59
12.70,0.00,207.59
12.80,0.00,207.59
12.90,6.60,207.59
13.00,8.20,207.59
13.10,7.80,207.59
13.20,7.00,207.59
13.30,0.00,207.59
13.40,0.00,207.60
13.50,0.00,207.60
13.60,0.00,207.60
13.70,0.00,207.60
13.80,0.00,207.60
13.90,9.30,207.60
14.00,10.30,207.61
14.10,8.60,207.61
14.20,0.00,207.61
14.30,0.00,207.61
14.40,0.00,207.61
14.50,0.00,207.61
14.60,0.00,207.61

Total Execution Time,15.8780,seconds
