time_sec,cpu_percent,memory_mb
0.00,0.00,92.24
0.10,0.00,168.54
0.20,7.70,206.71
0.30,6.20,332.04
0.40,5.60,503.11
0.50,7.30,590.66
0.60,7.40,590.66
0.70,12.80,673.48
0.80,6.60,744.45
0.90,7.10,744.45
1.00,6.70,821.35
1.10,0.00,821.36
1.20,7.80,821.36
1.30,6.30,897.66
1.40,6.70,897.66
1.50,6.40,897.66
1.60,7.50,897.66
1.70,7.30,897.66
1.80,6.00,897.66
1.90,6.00,897.66
2.00,6.60,897.66
2.10,0.00,974.55
2.20,0.00,974.55
2.30,0.00,974.55
2.40,7.10,974.55
2.50,7.20,974.56
2.60,6.20,974.56
2.70,6.00,974.56
2.80,7.10,974.56
2.90,7.30,974.57
3.00,8.30,974.57
3.10,7.20,974.57
3.20,6.00,974.57
3.30,7.70,974.57
3.40,6.60,974.57
3.50,8.00,974.57
3.60,8.70,974.57
3.70,9.60,974.57
3.80,9.60,974.57
3.90,8.10,974.57
4.00,9.30,974.57
4.10,0.00,974.57
4.20,0.00,974.57
4.30,0.00,974.57
4.40,0.00,974.58

Total Execution Time,9.7180,seconds
