time_sec,cpu_percent,memory_mb
0.96,0.00,138.50
1.00,5.00,153.80
1.10,5.00,377.87
1.20,5.00,493.34
1.30,5.00,493.34
1.40,5.00,424.41
1.50,5.50,493.94
1.60,5.00,493.94
1.70,4.50,575.27
1.80,5.50,647.77
1.90,5.00,647.77
2.00,5.00,366.63
2.12,5.10,454.20
3.00,5.00,454.20
3.00,0.00,454.20
3.10,5.00,506.25
3.20,4.50,646.10
3.30,5.00,646.10
3.40,5.00,551.38
3.50,5.50,646.69
3.60,5.00,646.69
3.70,5.00,701.14
3.80,5.00,800.36
3.90,5.00,800.36
4.00,5.00,416.05
4.55,5.10,454.20
4.97,0.00,454.20
5.00,4.90,454.20
5.10,5.00,550.79
5.20,5.00,646.10
5.30,5.00,646.10
5.40,5.00,594.50
5.50,5.50,646.69
5.60,5.00,646.69
5.70,5.00,740.52
5.80,4.50,800.36
5.90,5.00,800.36
6.08,5.10,454.20
6.95,0.00,454.20
7.00,4.40,434.05
7.10,5.50,630.32
7.20,4.50,646.10
7.30,5.50,603.24
7.40,4.50,646.69
7.50,5.00,646.69
7.60,5.50,595.83
7.70,5.00,800.36
7.80,5.00,800.36
7.90,5.00,743.61

Total Execution Time,8.0003,seconds
