time_sec,cpu_percent,memory_mb
0.93,0.00,138.66
1.00,4.80,304.57
1.10,5.00,445.07
1.20,5.50,493.50
1.30,5.00,493.50
1.40,5.00,489.89
1.50,5.00,494.11
1.60,5.00,477.25
1.70,5.00,629.34
1.80,5.00,647.78
1.90,5.00,647.78
2.00,5.50,412.89
2.52,5.00,454.21
2.94,0.00,454.21
3.00,4.80,438.06
3.10,5.00,631.27
3.20,5.00,646.11
3.30,5.00,605.25
3.40,5.00,646.70
3.50,5.00,646.70
3.60,5.00,597.84
3.70,5.50,800.38
3.80,5.00,800.38
3.90,5.00,747.62
4.04,5.00,454.21
4.88,0.00,454.21
4.90,3.10,454.21
5.00,5.00,522.67
5.10,5.00,646.11
5.20,5.00,646.11
5.30,5.50,561.86
5.40,4.50,646.70
5.50,5.50,646.70
5.60,5.00,708.03
5.70,5.00,800.38
5.80,5.00,800.38
5.90,5.00,416.06
6.42,5.00,454.21
6.83,0.00,454.21
6.90,5.30,522.36
7.00,4.50,646.11
7.10,5.50,646.11
7.20,5.00,504.67
7.30,4.50,646.70
7.40,5.00,646.70
7.50,5.50,654.28
7.60,4.50,800.38
7.70,5.50,800.38
7.80,5.00,493.58

Total Execution Time,7.9004,seconds
