time_sec,cpu_percent,memory_mb
0.00,0.00,266.41
0.10,11.40,1029.36
0.20,8.50,1029.36
0.30,7.60,647.94
0.40,7.50,647.94
0.50,8.70,647.94
0.60,8.10,647.94
0.70,7.40,417.22
0.80,0.00,646.24
0.90,0.00,872.20
1.00,0.00,1084.36
1.10,0.00,1287.34
1.20,0.00,1473.77
1.30,9.70,1632.82
1.40,16.00,1815.75
1.50,16.80,1974.23
1.60,13.20,1957.26
1.70,13.70,1918.73
1.80,12.60,2047.40
1.90,17.20,2026.79
2.00,0.00,2025.65
2.10,0.00,2014.16
2.20,0.00,2057.29
2.30,21.70,2149.78
2.40,19.00,2249.94
2.50,18.70,1571.43
2.60,0.00,1724.97
2.70,0.00,1893.43
2.80,0.00,2083.32
2.90,0.00,2278.02
3.00,0.00,2448.23
3.10,0.00,2628.33
3.20,0.00,2812.63
3.30,10.50,2991.30
3.40,11.00,3117.57
3.50,17.00,3106.91
3.60,16.30,3081.04
3.70,15.00,3132.77
3.80,0.00,3306.94
3.90,0.00,3444.78
4.00,0.00,3444.78
4.10,0.00,3444.78
4.20,0.00,3444.78
4.30,12.10,3444.78
4.40,8.40,3444.78
4.50,8.20,3444.78
4.60,7.80,3444.78
4.70,5.90,3444.78
4.80,6.30,3444.78
4.90,7.20,3444.78
5.00,6.50,3444.78
5.10,6.50,3444.78
5.20,7.10,3444.78
5.30,6.80,3444.79
5.40,8.00,3444.79
5.50,10.00,3444.79
5.60,7.50,3444.79
5.70,0.00,3444.79
5.80,0.00,3444.79
5.90,0.00,3444.79
6.00,0.00,2728.74
6.10,0.00,2941.56
6.20,0.00,3148.09
6.30,9.20,3352.43
6.40,7.30,2676.79
6.50,8.90,1992.84
6.60,8.40,2229.08
6.70,7.70,2479.25
6.80,0.00,2699.08
6.90,0.00,2925.18
7.00,0.00,3176.74
7.10,0.00,3414.92
7.20,0.00,3583.77
7.30,15.60,3580.56
7.40,16.70,3449.84
7.50,0.00,3226.39
7.60,0.00,2921.40
7.70,0.00,2622.86
7.80,0.00,2617.32
7.90,0.00,2621.79
8.00,0.00,2619.21
8.10,0.00,2617.77
8.20,12.80,2615.14
8.30,12.50,2608.38
8.40,11.80,2611.25
8.50,10.40,2606.79
8.60,11.30,2604.19
8.70,10.10,2602.02
8.80,7.40,2599.59
8.90,9.30,2597.25
9.00,8.60,2595.26
9.10,8.70,2592.29
9.20,7.50,2592.29
9.30,8.80,2591.79
9.40,8.10,2591.79
9.50,9.40,2591.79
9.60,10.30,2590.93
9.70,9.70,2590.93
9.80,21.00,2590.78
9.90,9.90,2590.54
10.00,0.00,2590.60
10.10,0.00,2609.99
10.20,12.50,2656.14
10.30,13.70,2696.45
10.40,12.70,2709.27
10.50,13.00,2711.85
10.60,18.10,2770.16
10.70,17.10,2829.50
10.80,11.90,2898.64
10.90,7.80,2204.98
11.00,7.80,2408.18
11.10,0.00,2609.89
11.20,10.60,2811.25
11.30,8.00,2130.72
11.40,7.80,2031.92
11.50,6.60,2216.55
11.60,6.60,2395.20
11.70,7.40,2571.77
11.80,0.00,2741.21
11.90,0.00,2906.56
12.00,0.00,3078.25
12.10,0.00,3245.60
12.20,7.20,3411.21
12.30,6.60,3601.13
12.40,6.70,3783.57
12.50,8.40,3968.35
12.60,6.70,4149.77
12.70,18.50,4288.80
12.80,21.10,4411.06
12.90,0.00,4551.26
13.00,0.00,4689.32
13.10,0.00,4583.85
13.20,15.60,4329.09
13.30,11.40,4055.12
13.40,11.70,3773.40
