time_sec,cpu_percent,memory_mb
0.96,0.00,139.64
1.00,4.80,162.97
1.10,5.50,384.04
1.20,5.00,494.51
1.30,5.00,494.51
1.40,5.00,434.96
1.50,5.00,495.11
1.60,5.00,495.11
1.70,5.00,590.19
1.80,5.50,648.79
1.90,5.00,648.79
2.00,5.00,385.30
2.12,5.00,455.37
2.99,5.00,455.37
3.00,3.30,455.37
3.10,5.50,538.20
3.20,5.00,647.27
3.30,5.00,647.27
3.40,4.50,588.02
3.50,5.50,647.86
3.60,5.00,647.86
3.70,5.00,743.09
3.80,5.50,801.53
3.90,5.00,801.53
4.07,5.00,455.37
4.95,0.00,455.37
5.00,4.70,423.22
5.10,5.50,601.95
5.20,5.00,647.27
5.30,5.00,643.30
5.40,5.00,647.86
5.50,5.00,647.86
5.60,5.00,572.13
5.70,5.00,801.53
5.80,5.00,801.53
5.90,5.00,725.57
6.04,5.00,455.37
6.91,50.00,455.37
7.00,4.70,511.02
7.10,5.50,647.27
7.20,5.00,647.27
7.30,5.00,563.48
7.40,5.00,647.86
7.50,5.00,647.86
7.60,5.00,719.03
7.70,5.50,801.53
7.80,5.00,801.53
7.90,5.00,423.22

Total Execution Time,8.0004,seconds
