time_sec,cpu_percent,memory_mb
0.05,3.80,968.71
0.13,5.30,968.71
0.21,5.30,968.71
0.31,5.00,968.71
0.41,4.80,968.71
0.51,5.70,968.71
0.61,5.00,968.71
0.71,5.00,968.71
0.81,5.00,968.71
0.91,4.50,968.71
1.01,5.00,968.71
1.11,5.00,968.71
1.21,5.00,968.71
1.31,5.00,968.71
1.41,5.00,968.71
1.51,5.50,968.71
1.61,5.00,968.71
1.71,5.00,968.71
1.81,5.00,968.71
1.91,5.50,968.71
2.01,5.00,968.71
2.11,5.00,968.71
2.21,5.00,968.71
2.31,5.00,968.71
2.41,5.00,968.71
2.51,5.00,968.71
2.61,5.00,968.71
2.71,5.50,968.71
2.81,5.00,968.71
2.91,5.00,968.71
3.01,5.00,968.71
3.11,5.00,968.71
3.21,5.00,968.71
3.31,5.00,968.71
3.41,5.50,968.71
3.51,5.00,968.71
3.61,5.00,968.71
3.71,5.00,968.71
3.81,5.00,968.71
3.91,5.50,968.71
4.01,4.50,968.71
4.11,5.00,968.71
4.21,5.00,968.71
4.31,5.00,968.71
4.41,5.00,968.71
4.51,5.50,968.71
4.61,5.00,968.71
4.71,5.00,968.71
4.81,5.00,968.71
4.91,5.00,968.71
5.01,5.00,968.71
5.11,5.00,968.71
5.21,5.00,968.71
5.31,5.00,968.71
5.41,5.00,968.71
5.51,5.00,968.71
5.61,5.50,968.71
5.71,5.00,968.71
5.81,5.00,968.71
5.91,5.00,968.71
6.01,5.00,968.71
6.11,5.00,968.71
6.21,5.00,968.71
6.31,5.00,968.71
6.41,5.00,968.71
6.51,5.00,968.71
6.61,5.50,968.71
6.71,5.00,968.71
6.81,5.00,968.71
6.91,5.00,968.71
7.01,5.00,968.71
7.11,5.00,968.71
7.21,5.00,968.71
7.31,5.00,968.71
7.41,5.00,968.71
7.51,5.00,968.71
7.61,5.00,968.71
7.71,5.50,968.71
7.81,5.00,968.71
7.91,5.00,968.71
8.01,5.00,968.71
8.11,5.00,968.71
8.21,5.00,968.71
8.31,6.00,968.71
8.41,5.00,968.71
8.51,5.00,968.71
8.61,5.00,968.71
8.71,5.00,968.71
8.81,5.00,968.71
8.91,5.00,968.71
9.01,5.00,968.71
9.11,5.00,968.71
9.21,5.00,968.71
9.31,5.00,968.71
9.41,5.00,968.71
9.51,5.00,968.71
9.61,5.00,968.71
9.71,5.50,968.71
9.81,5.00,968.71
9.91,5.00,968.71
10.01,5.00,968.71
10.11,5.00,968.71
10.21,5.00,968.71
10.31,5.00,968.71
10.41,5.00,968.71
10.51,5.00,968.71
